hodges_list,p_no,preferred_name,date,verbatim_name
3389,51a0679,Hystrichophora leonana Walsingham,2010-06-14,Hystrichophora leonana Wlsm.
3389,51a0679,Hystrichophora leonana Walsingham,2010-06-24,Hystrichophora leonana Wlsm.
3429,51a1326.4,Aspila prunivora (Walsh),2010-09-20,Grapholita prunivora (Walsh)
3429,51a1326.4,Aspila prunivora (Walsh),2010-10-06,Grapholita prunivora (Walsh)
3494,51a1383,Cydia latiferreana (Walsingham),2010-06-14,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),2010-06-24,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),2010-07-29,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),2010-08-19,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),2010-09-02,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),2010-09-20,Cydia latiferreana (Wlsm.)
3494,51a1383,Cydia latiferreana (Walsingham),2010-10-06,Cydia latiferreana (Wlsm.)
3560,51a0060,Acleris foliana (Wlsm.),2010-05-31,Acleris foliana (Wlsm.)
3560,51a0060,Acleris foliana (Wlsm.),2010-06-14,Acleris foliana (Wlsm.)
3560,51a0060,Acleris foliana (Wlsm.),2010-06-24,Acleris foliana (Wlsm.)
3573,51a0072,Decodes basiplagana (Walsingham),2010-10-06,Decodes basiplaganus (Wlsm.)
3574,51a0073,Decodes fragariana (Busck),2010-10-06,Decodes fragarianus (Bsk.)
